neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms,minimum_nights,maximum_nights,total_reviews_historicas,total_clicks_acumulados,price
cortes,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,1.4316753749197966,-0.3362150483793528,0.0,0,3.8501476017100584
pinar del rey,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,3.1354942159291497,0,3.4965075614664802
goya,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,3.224617439719127,-1.0244948762818669,0.0,0,2.9444389791664403
sol,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,1.4316753749197966,1.5659401123694134,0.0,0,4.584967478670572
gaztambide,0,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,6.810501569317787,-0.3362150483793528,1.791759469228055,0,4.394449154672439
almenara,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-1.1805781213064546,-0.3015019543862225,-0.3362150483793528,0.6931471805599453,0,3.6109179126442243
la calzada,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,1.5659401123694134,5.043425116919247,0,3.4657359027997265
opañel,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.1819724833996005,-0.3362150483793528,3.8066624897703196,0,3.6375861597263857
goya,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.057086458573643514,1.5659401123694134,4.02535169073515,0,3.8066624897703196
recoletos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,3.2252925153132956,3.523441117185682,-0.7992396598774077,0.0,0,3.4657359027997265
vallehermoso,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,1.5659401123694134,1.9459101490553132,0,3.871201010907891
san isidro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.0,0,3.6375861597263857
los angeles,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,-0.42381429920330915,1.3862943611198906,0,3.332204510175204
recoletos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.2422415854728441,0.0,0,3.4657359027997265
justicia,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,1.4316753749197966,-1.0995799484166866,0.0,0,3.258096538021482
cuatro caminos,3,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-1.914889894076413,-0.3015019543862225,-0.3362150483793528,1.3862943611198906,0,3.2188758248682006
gaztambide,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,5.428227833623171,-0.3015019543862225,0.25195135001006835,2.8903717578961645,0,4.02535169073515
guindalera,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.2247217353080528,2.833213344056216,0,3.295836866004329
cortes,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,1.5659401123694134,6.175867270105761,0,3.5553480614894135
justicia,0,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,3.224617439719127,-0.7992396598774077,0.0,0,3.4965075614664802
san diego,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,1.5512048459064187,0.5773199959276204,3.1780538303479458,0,3.871201010907891
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,5.615206859451567,-0.3362150483793528,0.0,0,4.605170185988092
rios rosas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,1.4316753749197966,-0.3362150483793528,0.6931471805599453,0,3.7376696182833684
portazgo,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.0995799484166866,4.48863636973214,0,2.995732273553991
nervión,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.2247217353080528,5.631211781821365,0,3.4339872044851463
justicia,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.3362150483793528,5.0689042022202315,0,3.7612001156935624
santa cruz,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,-0.2417372188929115,-1.2247217353080528,6.361302477572996,0,3.6888794541139363
portazgo,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,2.1972245773362196,0,3.295836866004329
palos de moguer,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,5.017559504518458,-0.3362150483793528,1.0986122886681098,0,3.091042453358316
san bartolomé,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.47543960702682053,-1.2147103923567435,0.0,0,4.0943445622221
hispanoamérica,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.0,0,3.9889840465642745
san fermín,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.0244948762818669,4.584967478670572,0,3.4657359027997265
castellana,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,0.057086458573643514,1.5659401123694134,0.0,0,4.0943445622221
palomeras sureste,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,1.6094379124341003,0,3.8918202981106265
guindalera,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.0244948762818669,0.6931471805599453,0,3.58351893845611
"sector sur, la palmera, reina mercedes",2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,3.224617439719127,-0.41380295625199986,0.0,0,2.8903717578961645
embajadores,3,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,3.091042453358316,0,3.784189633918261
castillejos,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,-0.3015019543862225,-1.1671565133380244,3.4011973816621555,0,3.5263605246161616
carretera de cadiz,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.2247217353080528,1.6094379124341003,0,3.9889840465642745
